Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-02-13 00:00:00+01:00,5.429999828338623,5.429999828338623,5.429999828338623,5.429999828338623,0,0.0,0.0
2025-02-14 00:00:00+01:00,4.800000190734863,4.800000190734863,4.800000190734863,4.800000190734863,0,0.0,0.0
2025-02-17 00:00:00+01:00,5.070000171661377,5.070000171661377,5.070000171661377,5.070000171661377,0,0.0,0.0
2025-02-18 00:00:00+01:00,5.099999904632568,5.099999904632568,5.099999904632568,5.099999904632568,0,0.0,0.0
2025-02-19 00:00:00+01:00,4.590000152587891,4.590000152587891,4.590000152587891,4.590000152587891,0,0.0,0.0
2025-02-20 00:00:00+01:00,4.230000019073486,4.230000019073486,4.230000019073486,4.230000019073486,0,0.0,0.0
2025-02-21 00:00:00+01:00,5.159999847412109,5.159999847412109,5.159999847412109,5.159999847412109,0,0.0,0.0
2025-02-24 00:00:00+01:00,4.5,4.5,4.5,4.5,0,0.0,0.0
2025-02-25 00:00:00+01:00,4.050000190734863,4.050000190734863,4.050000190734863,4.050000190734863,0,0.0,0.0
2025-02-26 00:00:00+01:00,4.050000190734863,4.050000190734863,4.050000190734863,4.050000190734863,0,0.0,0.03333333333333333
2025-02-27 00:00:00+01:00,3.371500015258789,3.371500015258789,3.371500015258789,3.371500015258789,0,0.0,0.0
2025-02-28 00:00:00+01:00,3.0350000858306885,3.0350000858306885,3.0350000858306885,3.0350000858306885,0,0.0,0.0
2025-03-03 00:00:00+01:00,2.994499921798706,2.994499921798706,2.994499921798706,2.994499921798706,0,0.0,0.0
2025-03-04 00:00:00+01:00,2.690000057220459,2.690000057220459,2.690000057220459,2.690000057220459,0,0.0,0.0
2025-03-05 00:00:00+01:00,2.380000114440918,2.380000114440918,2.380000114440918,2.380000114440918,0,0.0,0.0
2025-03-06 00:00:00+01:00,2.7300000190734863,2.7300000190734863,2.7300000190734863,2.7300000190734863,0,0.0,0.0
2025-03-07 00:00:00+01:00,2.6600000858306885,2.6600000858306885,2.6600000858306885,2.6600000858306885,0,0.0,0.0
2025-03-10 00:00:00+01:00,2.819999933242798,2.819999933242798,2.819999933242798,2.819999933242798,0,0.0,0.0
2025-03-11 00:00:00+01:00,2.9100000858306885,2.9100000858306885,2.9100000858306885,2.9100000858306885,0,0.0,0.0
