Date,Close,High,Low,Open,Volume
2021-02-16,7.511820316314697,7.511820316314696,7.4722426073957955,7.480158300155978,23000
2021-02-17,7.448495864868164,7.527651278251867,7.448495864868163,7.527651278251867,40300
2021-02-18,7.459611415863037,7.507226291745265,7.419933235576088,7.435804356328313,2500
2021-02-19,7.435799598693848,7.499285554708193,7.4278636649889815,7.499285554708193,127600
2021-02-22,7.340568542480469,7.443733380381427,7.340568542480468,7.411990411551291,15500
2021-02-23,7.3008928298950195,7.332635812584512,7.205663881826541,7.332635812584512,25100
2021-02-24,7.3008928298950195,7.3008928298950195,7.237406864516034,7.261213912330052,13200
2021-02-25,7.205663681030273,7.3008926264450595,7.12630584811176,7.3008926264450595,22700
2021-02-26,7.221534252166748,7.269148337908649,7.189791276068065,7.189791276068065,17500
2021-03-01,7.2294721603393555,7.292958136525785,7.2294721603393555,7.269151084659007,15600
2021-03-02,7.253276824951172,7.285019799284805,7.237404959378252,7.237404959378252,10600
2021-03-03,7.237406253814697,7.261213299619848,7.2294703196088665,7.237406253814697,9000
2021-03-04,7.261212348937988,7.269148282104798,7.2374053062498,7.253277172583419,7000
2021-03-05,7.237406253814697,7.253278122226358,7.2294703196088665,7.245342188020527,14700
2021-03-08,7.2770843505859375,7.277084350585937,7.2215343310098215,7.277084350585937,30500
2021-03-09,7.2850213050842285,7.2850213050842285,7.245342389762582,7.277085370657426,28900
2021-03-10,7.3246989250183105,7.332634858861593,7.261212967896658,7.285020769426508,19300
2021-03-11,7.348506927490234,7.356442861550523,7.332635059369658,7.332635059369658,8800
2021-03-12,7.269150257110596,7.324700290746556,7.269150257110596,7.316765112236024,28100
2021-03-15,7.3008928298950195,7.348507682335462,7.285021716956475,7.285021716956475,61800
2021-03-16,7.3246989250183105,7.332634858861593,7.316763747987333,7.316763747987333,9500
2021-03-17,7.3246989250183105,7.356442660391442,7.277084835583224,7.30882781414405,12800
2021-03-18,7.3008928298950195,7.332635812584512,7.269149847205527,7.332635812584512,16400
2021-03-19,7.3167643547058105,7.316764354705811,7.253278392319795,7.277085439011459,16500
2021-03-22,7.292953968048096,7.32469693799779,7.2770828614792995,7.2770828614792995,19000
2021-03-23,7.296138763427734,7.351834235901657,7.2802253376958115,7.2802253376958115,22800
2021-03-24,7.351834774017334,7.351834774017334,7.296139297466796,7.3040960109151465,3700
2021-03-25,7.32000732421875,7.439355727472935,7.288181235109731,7.3916162144124975,21400
2021-03-26,7.351834774017334,7.383660869016779,7.327965392466241,7.335922105914591,21200
2021-03-29,7.351834774017334,7.359791487465685,7.343878060568984,7.343878060568984,10200
2021-03-30,7.367747783660889,7.439356683052745,7.343877644667659,7.383660450862459,13400
2021-03-31,7.391617774963379,7.487096062448233,7.3518349654795285,7.36774839279066,13600
2021-04-01,7.439357757568359,7.447313712921318,7.391618231480481,7.439357757568359,12900
2021-04-05,7.415485858917236,7.4393559957050215,7.407529905448486,7.4393559957050215,11300
2021-04-06,7.391617774963379,7.487096062448233,7.375705106446226,7.399574488618945,18300
