Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2024-02-15 00:00:00-05:00,26.953189849853516,26.953189849853516,26.953189849853516,26.953189849853516,0,0.0,0.0,0.0
2024-02-16 00:00:00-05:00,26.845088958740234,26.845088958740234,26.845088958740234,26.845088958740234,0,0.0,0.0,0.0
2024-02-20 00:00:00-05:00,26.764013290405273,26.764013290405273,26.764013290405273,26.764013290405273,0,0.0,0.0,0.0
2024-02-21 00:00:00-05:00,26.845088958740234,26.845088958740234,26.845088958740234,26.845088958740234,0,0.0,0.0,0.0
2024-02-22 00:00:00-05:00,27.14236831665039,27.14236831665039,27.14236831665039,27.14236831665039,0,0.0,0.0,0.0
2024-02-23 00:00:00-05:00,27.259477615356445,27.259477615356445,27.259477615356445,27.259477615356445,0,0.0,0.0,0.0
2024-02-26 00:00:00-05:00,27.367576599121094,27.367576599121094,27.367576599121094,27.367576599121094,0,0.0,0.0,0.0
2024-02-27 00:00:00-05:00,27.574771881103516,27.574771881103516,27.574771881103516,27.574771881103516,0,0.0,0.0,0.0
2024-02-28 00:00:00-05:00,27.754940032958984,27.754940032958984,27.754940032958984,27.754940032958984,0,0.0,0.0,0.0
2024-02-29 00:00:00-05:00,27.727914810180664,27.727914810180664,27.727914810180664,27.727914810180664,0,0.0,0.0,0.0
2024-03-01 00:00:00-05:00,27.754940032958984,27.754940032958984,27.754940032958984,27.754940032958984,0,0.0,0.0,0.0
2024-03-04 00:00:00-05:00,27.763948440551758,27.763948440551758,27.763948440551758,27.763948440551758,0,0.0,0.0,0.0
2024-03-05 00:00:00-05:00,27.74593162536621,27.74593162536621,27.74593162536621,27.74593162536621,0,0.0,0.0,0.0
2024-03-06 00:00:00-05:00,27.8179988861084,27.8179988861084,27.8179988861084,27.8179988861084,0,0.0,0.0,0.0
2024-03-07 00:00:00-05:00,27.74593162536621,27.74593162536621,27.74593162536621,27.74593162536621,0,0.0,0.0,0.0
2024-03-08 00:00:00-05:00,27.69188117980957,27.69188117980957,27.69188117980957,27.69188117980957,0,0.0,0.0,0.0
2024-03-11 00:00:00-04:00,27.718908309936523,27.718908309936523,27.718908309936523,27.718908309936523,0,0.0,0.0,0.0
